length,number_of_hashtags,number_of_mentions,likes_received,retweets_received,sentiment_polarity,sentiment.subjectivity,time
142,0,0,617821,272093,0.05,0.25,00
142,0,0,118963,28666,-0.25,0.55,00
142,0,0,157799,39718,0.7,0.6000000000000001,00
142,1,0,74757,15339,0.7,0.6000000000000001,00
117,0,0,58404,9516,0.0,1.0,23
139,1,0,77681,16218,0.2,0.1,23
151,0,0,57486,12492,0.0,0.0,12
142,0,0,118700,30976,0.475,0.63125,12
138,1,0,102025,24987,0.5,0.8125,12
141,0,0,58220,13890,0.06666666666666667,0.2833333333333334,10
142,0,0,49405,11190,0.0,0.0,10
142,0,0,43703,9476,0.0,0.0,10
142,0,0,40076,8732,0.375,0.40625,09
142,0,0,52475,11432,0.7,0.6000000000000001,09
64,1,0,51744,7808,0.0,0.0,05
142,1,1,72130,13509,-0.4,0.7,01
142,0,0,82731,14929,0.016666666666666677,0.31666666666666665,23
144,0,0,135247,29225,-0.25,0.25,23
142,0,0,94464,20459,0.0,0.0,13
145,0,0,92493,19441,0.64,0.86,07
146,0,0,133719,35458,0.0,1.0,18
142,0,0,64117,13502,0.35,0.55,15
142,0,0,88574,23544,-0.25,0.25,15
145,0,1,60936,12994,0.8,1.0,14
107,0,0,72485,11380,0.325,0.26,04
136,0,0,53703,12862,0.5125,0.65,03
142,0,0,52629,12432,0.0,0.0,03
146,0,0,43260,10425,0.0,0.0,03
142,0,0,60130,14468,0.0,0.25,03
129,2,0,30018,5917,0.13636363636363635,0.5,02
144,0,0,81886,19260,-0.2916666666666667,0.5416666666666666,01
142,0,0,62367,10951,0.13125,0.5,01
142,0,0,63824,11011,0.0,0.0,21
105,0,1,60411,12683,0.6,0.75,14
139,0,1,52563,12967,0.0024999999999999953,0.5225000000000001,10
72,0,1,34903,7191,-1.0,1.0,10
129,0,0,51639,13234,0.01666666666666668,0.6666666666666666,10
86,0,0,42904,7084,-0.18958333333333335,0.3520833333333333,10
126,0,0,62849,11790,0.48000000000000004,0.645,10
134,0,0,71240,22120,0.85,1.0,10
154,0,0,55500,14630,0.8500000000000001,0.825,07
328,0,2,0,25564,0.0,0.0,01
92,0,0,66507,102975,-0.25,0.7,23
118,0,0,111280,107997,0.525,0.5,23
117,0,0,76165,13371,0.3604166666666667,0.5,21
144,0,0,68564,15929,0.29375,0.5875,21
132,0,0,78786,20296,-0.5,0.5,21
51,2,0,72317,18151,0.0,0.0,13
142,0,0,85407,18114,1.0,0.3,04
144,0,0,187224,40376,0.0,0.0,20
115,0,0,58334,12305,0.5666666666666667,0.875,07
99,0,1,56005,11936,0.18333333333333332,0.7999999999999999,07
104,0,0,107393,23446,1.0,1.0,06
140,0,0,86327,16985,0.0,0.875,02
103,0,0,75670,14696,0.225,0.38333333333333336,00
131,0,0,70857,18715,0.29878787878787877,0.5715151515151515,12
140,0,0,160001,38704,-0.009595959595959616,0.3717171717171717,12
167,0,1,0,14871,0.19999999999999998,0.19999999999999998,12
141,1,2,78744,19939,1.0,0.75,07
142,0,1,68278,13141,0.6125,0.7875,03
117,0,0,89160,13115,0.4666666666666666,0.48333333333333334,22
102,0,0,137665,37448,0.0,0.4166666666666667,16
41,0,0,67660,16205,0.0,0.0,16
137,0,0,94501,26087,-0.024999999999999994,0.4166666666666667,16
144,0,0,74559,14032,-0.19444444444444448,0.2888888888888889,14
114,0,0,82510,16977,0.2619047619047619,0.4619047619047619,14
120,0,0,77685,16467,0.19642857142857142,0.38392857142857145,14
131,0,0,70791,15332,-0.05,0.06666666666666668,12
139,0,0,57931,14717,0.03333333333333336,0.5555555555555555,12
143,0,0,103552,29221,0.5,0.55,11
143,0,0,76450,19047,-0.0027272727272727336,0.45090909090909087,11
140,0,0,131571,30873,-0.04285714285714286,0.3404761904761905,11
140,0,0,72460,18315,0.4,0.5,11
144,0,0,87596,23132,0.0,0.1,10
136,0,0,108144,27476,-0.07777777777777779,0.6444444444444445,10
68,0,2,42733,7564,0.5,0.5,01
137,0,1,64350,17171,0.08750000000000002,0.875,01
139,0,0,91261,25449,0.13125,0.4,00
140,0,0,82886,24405,-0.033333333333333326,0.3666666666666667,00
140,0,0,64391,13334,0.5301587301587302,0.673015873015873,00
142,0,0,43302,9431,0.4,0.375,22
146,0,0,55703,14079,0.0,0.0,20
144,0,1,46631,10641,0.7,0.8,19
142,0,0,54866,13717,0.0,0.0,18
141,0,0,74362,18144,0.375,0.875,18
124,3,1,55786,11510,0.0,0.0,17
137,0,0,84744,17323,-0.08333333333333333,0.7000000000000001,11
140,0,0,70213,13981,0.35,0.4,11
139,0,0,172295,43096,-0.09166666666666656,0.5555555555555555,03
141,0,1,40321,8254,0.4681818181818182,0.6022727272727273,03
65,0,1,34675,5160,0.9,0.875,02
80,0,0,45992,10346,0.41944444444444445,0.8166666666666668,02
131,0,0,107134,23031,0.12916666666666668,0.5111111111111111,02
138,0,0,70958,13710,0.5166666666666667,0.6666666666666666,02
142,0,0,76352,22759,0.2,0.4,23
118,0,2,34919,7171,0.625,0.5,22
103,0,2,42452,8456,0.2,0.2,22
142,0,0,57335,12302,0.01666666666666668,0.6944444444444443,21
117,1,2,29386,5409,0.0,0.0,20
99,0,2,34978,6510,0.0,0.0,20
142,0,0,56115,12615,-0.9,1.0,19
140,0,0,56014,11739,0.0,0.5,15
140,0,0,82704,17602,0.037500000000000006,0.6625,14
47,2,0,40008,8896,0.0,0.0,13
126,0,1,77081,21327,0.0,0.0,11
139,0,1,101804,26129,-0.11388888888888891,0.4138888888888888,11
140,0,0,131111,37494,0.0,0.0,11
138,0,0,148764,37544,0.13194444444444445,0.5333333333333333,01
140,0,0,69578,13656,-0.19722222222222222,0.7138888888888889,01
138,0,0,113788,26129,0.17045454545454544,0.45454545454545453,22
118,0,0,142787,36129,0.0,0.25,22
131,0,0,110181,25454,-0.4642857142857143,0.55,21
114,1,0,44333,11045,-0.125,0.15833333333333333,19
111,0,0,29465,6511,0.3181818181818182,0.4772727272727273,19
119,0,0,41191,10438,0.5,0.5,18
146,0,1,0,9751,0.0,0.0,16
83,1,0,62722,13982,0.75,0.75,16
51,0,1,28346,6001,0.0,0.0,15
138,0,0,37343,10012,-0.1,0.1,14
134,0,0,53624,12637,-0.484375,0.8125,14
140,0,0,68442,17812,-0.1,0.25,14
136,0,0,76439,17252,0.0,0.5,12
139,0,0,56690,12845,-0.03333333333333333,0.26666666666666666,12
140,0,0,59678,14497,-0.275,0.7,12
32,0,0,93002,23161,0.0,0.0,14
143,0,0,122571,35560,-0.25,0.55,14
45,0,1,44051,7756,0.8,0.75,11
132,0,0,110381,35479,0.20833333333333334,0.3666666666666667,11
141,0,0,94079,24098,0.09523809523809523,0.2119047619047619,14
137,0,0,102370,25624,0.125,0.1,14
140,0,0,75645,18262,-0.8999999999999999,0.8888888888888888,14
140,0,0,89541,24282,0.5,0.5,14
144,0,0,114151,30737,-0.39999999999999997,0.5666666666666667,13
142,0,0,68784,14535,0.45,0.6666666666666666,13
47,0,0,94558,20072,-0.0625,0.4,23
140,0,0,116730,26027,-0.3354166666666667,0.675,22
142,1,0,64410,15139,0.8,1.0,22
59,0,0,54973,10813,0.0,0.0,21
125,0,0,52061,10650,0.35,0.55,21
135,1,0,73023,17299,-0.06666666666666667,0.4166666666666667,21
139,1,0,42115,9263,0.0,0.0,14
139,0,0,133551,24313,-0.2416666666666666,0.8888888888888888,12
138,0,0,90282,21275,0.3890625,0.45,12
148,0,0,69982,26163,0.0,0.0,02
33,1,0,66928,17935,0.0,0.0,00
73,1,1,42790,10309,1.0,1.0,23
116,0,0,45543,8996,-0.125,0.5,21
106,0,1,46178,13588,0.5,0.5,20
142,0,0,48875,10331,-0.2,0.6,18
140,0,0,62171,11931,0.19833333333333336,0.4558333333333333,14
46,0,1,40108,8270,0.0,0.0,14
140,0,0,102689,28258,0.1625,0.5,13
128,0,1,50349,10137,0.6900000000000001,0.8,12
138,0,0,96722,19944,0.23333333333333336,0.6055555555555555,11
100,0,1,51112,10504,0.775,0.7000000000000001,11
140,0,3,46509,8944,0.0,0.0,11
52,0,1,45007,7170,1.0,0.75,10
142,0,0,55244,11796,0.278125,0.675,10
146,1,0,46482,10196,-0.3,0.9,01
142,1,0,57238,13361,0.3,0.43333333333333335,21
30,0,0,136131,25549,0.0,0.1,15
59,0,0,69794,13406,0.0,0.0,14
134,0,0,54071,12181,0.09531250000000002,0.78125,14
140,0,0,62472,13654,0.23333333333333336,0.6875,14
58,0,1,0,13340,0.0,0.0,13
53,0,0,40654,9415,0.375,0.0,13
142,0,1,0,5829,0.0,0.0,13
89,1,0,53708,13258,1.0,0.75,03
130,1,0,51615,11984,0.0,0.0,01
145,1,1,0,9237,0.0,0.0,01
90,0,2,31932,5978,0.5,0.5,22
146,0,2,35377,7231,0.0,0.0,22
87,1,0,124802,34280,0.2875,0.45,19
146,0,0,46695,9080,0.0,0.0,19
144,0,0,55937,9907,0.4916666666666667,1.0,19
84,1,2,37459,7852,0.1,0.7,17
113,0,1,33359,6052,0.7999999999999999,0.8333333333333334,17
49,0,0,51256,13893,1.0,0.75,15
